"name","ra","dec","orig_ref","DR3Name","RAdeg","DEdeg","errHalfMaj","errHalfMin","errPosAng","SolID","Source","RandomI","e_RAdeg","e_DEdeg","Plx","e_Plx","RPlx","PM","pmRA","e_pmRA","pmDE","e_pmDE","RADEcor","RAPlxcor","RApmRAcor","RApmDEcor","DEPlxcor","DEpmRAcor","DEpmDEcor","PlxpmRAcor","PlxpmDEcor","pmRApmDEcor","NAL","NAC","NgAL","NbAL","gofAL","chi2AL","epsi","sepsi","Solved","APF","nueff","pscol","e_pscol","RApscolCorr","DEpscolCorr","PlxpscolCorr","pmRApscolCorr","pmDEpscolCorr","MatchObsA","Nper","amax","MatchObs","IPDgofha","IPDgofhp","IPDfmp","IPDfow","RUWE","Dup","o_Gmag","FG","e_FG","RFG","Gmag","e_Gmag","o_BPmag","FBP","e_FBP","RFBP","BPmag","e_BPmag","o_RPmag","FRP","e_FRP","RFRP","RPmag","e_RPmag","E(BP/RP)","NBPcont","NBPblend","NRPcont","NRPblend","Mode","BP-RP","BP-G","G-RP","RV","e_RV","n_RV","o_RV","o_RVd","RVNper","RVS/N","RVgof","RVchi2","RVTdur","RVamp","RVtempTeff","RVtemplogg","RVtemp[Fe/H]","Vatmparam","vbroad","e_Vbroad","o_Vbroad","GRVSmag","e_GRVSmag","o_GRVSmag","RVSS/N","VarFlag","PQSO","PGal","PSS","Teff","b_Teff_cds","B_Teff_cdsa","logg","b_logg_cds","B_logg_cdsa","[Fe/H]","b_[Fe/H]_cds","B_[Fe/H]_cdsa","distance","Dist","b_Dist_cds","B_Dist_cdsa","A0","b_A0_cds","B_A0_cdsa","AG","b_AG_cds","B_AG_cdsa","E(BP-RP)","b_E(BP-RP)_cds","B_E(BP-RP)_cdsa","Lib","RAJ2000","DEJ2000","e_RAJ2000","e_DEJ2000","RADEcorJ2000","angDist","l","b","ecl_lon","ecl_lat","pml","pmb","pml_error","pmb_error","parallax_ext_uncert","zpEDR3","plx_corr"
"SPICY 116317",334.209684,58.052837,"kuhn2021","Gaia DR3 2198784936407653376",334.20964465862,58.05282083646,0,0,123,1636148068921376768,2198784936407653376,4401231,0.1453,0.1384,0.537,0.1637,3.2805,3.559,-3.099,0.173,-1.75,0.166,-0.1084,0.0546,0.1057,-0.1807,0.0609,-0.2072,-0.0567,-0.1382,0.1292,-0.1125,387,0,385,2,0.4271,443.96,0.475,0.91877,95,FALSE,1.2169,1.2169,0.0424,-0.177,0.07,0.084,-0.052,-0.01,44,25,0.251866,53,0.01232,55.14,1,0,1.015,0,417,523.89246,1.31184,399.358,18.889261,0.003871,51,88.0725,6.73651,13.0739,20.476442,0.083093,50,689.534,8.13813,84.7289,17.651506,0.01336,1.484,0,1,0,1,0,2.824936,1.587181,1.237755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999995,3865.6,3795,3913.6,4.1801,4.0783,4.4239,-1.2747,-1.3944,-1.1147,1.8621974,577.8461,476.9485,631.0353,4.0369,3.9218,4.1169,2.6514,2.5685,2.7082,1.4738,1.4285,1.5051,"PHOENIX",334.20967068944,58.05282861371,2.757067,2.661127,-0.0925,0.094879,103.63051891336,1.09649856620736,14.8483711113592,60.4693055721776,-3.54884957653657,0.268267931583671,0.16189369523232,0.176848611654218,0.228532923220718,-0.0349989981490308,0.571998998149031
"Gaia EDR3 2205651665695699072",332.009714722222,62.28896,"prisinzano2022","Gaia DR3 2205651665695699072",332.01021913979,62.28914852982,0,0,83,1636148068921376768,2205651665695699072,389397462,0.0885,0.0831,1.1193,0.0975,11.4787,4.241,-1.092,0.11,-4.098,0.102,0.016,0.1272,0.0397,-0.0421,0.1477,-0.0688,-0.1181,-0.1476,-0.0368,0.0623,384,0,383,1,-1.5011,357.28,0,0,31,FALSE,1.253,NA,NA,NA,NA,NA,NA,NA,44,27,0.155009,47,0.01128,20.15,0,0,0.945,0,368,1107.92334,1.58472,699.13,18.076092,0.003163,21,164.869,7.7152,21.3693,19.795698,0.050885,21,1534.99,22.7248,67.5468,16.782633,0.016512,1.534,0,0,0,1,0,3.013065,1.719606,1.293459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.99987,3466.5,3457.7,3474.4,4.1636,4.12,4.2063,-0.3341,-0.3775,-0.27,0.8934155,605.1858,587.3175,629.0506,1.9681,1.9112,2.0205,1.2435,1.2071,1.2771,0.8039,0.7831,0.8232,"MARCS",332.01022957871,62.28916674505,1.765991,1.651481,0.0675,1.083366,105.149008241748,5.2000001305524,20.3035858489276,64.0350084367673,-3.28141293910589,-2.68670748744043,0.110379163423277,0.101589567781231,0.109267570108189,-0.0176105503557023,1.1369105503557
"Gaia EDR3 2068429483519038464",306.063830277778,41.3617591666667,"prisinzano2022","Gaia DR3 2068429483519038464",306.06378636418,41.36187695935,0,0,165,1636148068921376768,2068429483519038464,476125337,0.0695,0.0748,0.9042,0.0866,10.4367,3.907,-2.229,0.104,-3.209,0.099,-0.0431,0.0356,-0.2942,0.0069,0.0115,-0.0136,-0.1295,-0.1005,-0.0411,-0.1318,332,0,331,1,3.2027,433.68,0.383,2.8866,31,TRUE,1.289,NA,NA,NA,NA,NA,NA,NA,38,23,0.151349,43,0.01645,140.1,0,0,1.127,0,341,1865.32281,4.32886,430.904,17.510483,0.003734,37,409.581,7.9656,51.4188,18.807692,0.021299,37,2223.18,16.5167,134.601,16.38046,0.008908,1.411,0,1,0,0,0,2.427231,1.297209,1.130022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.99999,4527.8,4495.2,4569.5,4.3002,4.2698,4.3297,-1.2445,-1.3398,-1.1301,1.10595,708.7354,690.3815,728.4369,3.0708,3.0294,3.1193,2.1787,2.1472,2.2173,1.2021,1.1848,1.224,"MARCS",306.06379956289,41.36189122277,1.687889,1.59917,-0.1289,0.440341,79.2750084335407,2.18499899218054,326.378450974223,57.9538176945852,-3.90714443962538,-0.0185560745980139,0.0941263924348271,0.108430725568009,0.10127479539966,-0.014335031099992,0.918535031099992
"Gaia EDR3 3325962136463178880",98.6517163888889,7.7222375,"prisinzano2022","Gaia DR3 3325962136463178880",98.65189528673,7.72212273922,0,0,132,1636148068921376768,3325962136463178880,273832015,0.0764,0.0746,1.2901,0.098,13.1604,3.903,-1.849,0.091,-3.437,0.072,-0.2682,0.3452,-0.0414,0.0765,-0.524,-0.1434,-0.2748,0.3245,0.12,-0.0081,210,0,210,0,2.1379,262.9,0.248,1.6087,31,FALSE,1.311,NA,NA,NA,NA,NA,NA,NA,24,16,0.129407,25,0.007806,173,0,0,1.106,0,207,3014.30105,4.6427,649.256,16.9894,0.003223,23,792.967,24.404,32.4934,18.090405,0.03353,23,3667.73,56.8639,64.5001,15.836904,0.017252,1.48,0,13,0,12,0,2.253501,1.101004,1.152497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.996487,3606.1,3598.3,3615.2,4.1173,4.0711,4.1627,-0.5756,-0.5944,-0.5293,0.7751337,654.9104,622.5058,689.5679,0.6311,0.6107,0.652,0.4262,0.4124,0.4404,0.2561,0.248,0.2642,"MARCS",98.65190357858,7.72213801583,1.45343,1.182541,-0.0037,0.760245,204.146008656831,-0.196997121454608,98.8966342015586,-15.4502486125319,2.19896481453609,-3.22433306971105,0.0767105323981667,0.0870660336709431,0.116294322469866,-0.0311619575815543,1.32126195758155
"[H97b] 575",83.82526,-5.40031,"hillenbrand2013","Gaia DR3 3017361005306507264",83.82530353403,-5.40031094316,0,0,128,1636148068921376768,3017361005306507264,1089848135,0.0842,0.0813,2.4488,0.106,23.1081,1.325,1.217,0.1,0.523,0.094,-0.1458,0.1018,-0.4953,0.089,-0.2687,0.0677,-0.7156,0.0151,0.2702,-0.078,297,0,297,0,-10.3649,616.34,0.51,10.657,95,FALSE,1.2319,1.2319,0.0203,-0.127,-0.138,-0.17,-0.051,0.132,35,20,0.152606,39,0.01412,77.77,0,0,0.602,0,254,7718.88984,41.5613,185.723,15.96848,0.006463,24,88804.1,1386.13,64.0664,12.96746,0.017175,25,98721.9,250.44,394.194,12.261862,0.004677,24.294,0,24,0,25,0,0.705598,-3.00102,3.706618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0.022733,0.977267,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40836325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",83.82529809968,-5.4003132676,1.636858,1.558464,-0.0813,0.156064,209.023959280835,-19.3829415348381,82.9884437618393,-28.6894251534532,0.0839697106647456,1.32195578129183,0.0983138458109462,0.0957621413809313,0.158756799386878,-0.0616644519778314,2.51046445197783
"Gaia EDR3 2204599050818593152",333.215545277778,61.2848441666667,"prisinzano2022","Gaia DR3 2204599050818593152",333.21507298131,61.28473660262,0,0,107,1636148068921376768,2204599050818593152,728169615,0.1317,0.123,1.0761,0.1439,7.4757,3.222,-1.596,0.181,-2.799,0.175,-0.0464,0.1321,0.0827,-0.1058,0.1274,-0.1219,0.0045,-0.0942,0.0297,-0.0229,378,0,378,0,-1.8168,347.7,0,0,31,FALSE,1.234,NA,NA,NA,NA,NA,NA,NA,43,27,0.25262,47,0.02168,21.37,0,0,0.933,0,382,575.14717,1.11148,517.462,18.78792,0.003463,39,79.006,6.49194,12.1699,20.59439,0.089259,40,762.282,7.43558,102.518,17.542606,0.011245,1.463,0,3,0,2,0,3.051785,1.806471,1.245314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999937,3398.2,3367.8,3410.7,4.8005,4.7866,4.8165,0.0984,0.073,0.1239,0.92928165,437.89,422.418,451.0956,1.4235,1.3318,1.4967,0.8934,0.8344,0.9416,0.5944,0.5579,0.624,"MARCS",333.21508774274,61.28474904456,2.892338,2.798173,-0.0128,0.904035,105.035008330411,4.05100030192848,19.3015239170517,62.9704359369707,-2.90550129097476,-1.39272367975274,0.17717191190189,0.17887457514423,0.160879696103175,-0.0176597168992346,1.09375971689923
"Gaia DR2 4278522725223946752",280.795988920223,0.771231838436231,"kounkel2020","Gaia DR3 4278522725223946752",280.79599381406,0.77123488802,0,0,50,1636148068921376768,4278522725223946752,175870837,0.0774,0.0765,2.2375,0.0915,24.4565,8.753,2.899,0.092,-8.259,0.081,0.0564,-0.0065,-0.1922,-0.0356,-0.4032,0.0165,-0.2164,-0.1557,-0.0233,0.1224,237,0,237,0,0.429,400.54,0.482,7.1147,95,FALSE,1.184,1.184,0.0194,0.073,0.066,-0.012,-0.184,-0.01,27,16,0.132057,27,0.06324,82.1,0,0,1.019,0,235,3005.59386,6.13486,489.92,16.99254,0.003536,19,311.958,7.59433,41.0778,19.103302,0.026578,19,4309.32,23.3831,184.292,15.661874,0.006999,1.538,0,0,0,0,0,3.441428,2.110762,1.330667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999992,3478.9,3469.6,3491,4.0111,3.9779,4.0261,-0.3103,-0.3429,-0.2733,0.4469274,350.8594,343.3375,367.454,2.7841,2.7521,2.8184,1.7277,1.7069,1.7498,1.1232,1.1123,1.1353,"MARCS",280.79598092798,0.77127159306,1.494466,1.321522,0.1203,0.020757,32.6774763378741,2.18810770662003,281.80929605675,23.7690190722197,-6.02951476043467,-6.3450952517437,0.0877301536613032,0.0856061921741886,0.135587864662472,-0.0646979208434156,2.30219792084342
"SPICY 61622",266.294079,-32.289851,"kuhn2021","Gaia DR3 4054075224759275392",266.29412074397,-32.28981280587,0,0,69,1636148068921376768,4054075224759275392,1516290510,0.1547,0.1212,0.4744,0.2052,2.3119,5.792,-3.185,0.203,-4.838,0.118,0.2274,-0.2549,-0.0062,-0.2104,-0.3219,-0.0435,-0.7586,-0.4363,0.4133,0.0722,408,0,407,1,0.8606,605.96,0.752,6.5056,95,FALSE,1.1237,1.1237,0.0306,0.076,0.045,-0.153,0.082,-0.229,46,17,0.289848,46,0.03798,2.119,0,0,1.03,0,401,1030.00398,1.63801,628.815,18.15527,0.003252,35,76.736,5.04921,15.1976,20.626045,0.071496,39,1650.19,8.1864,201.577,16.704062,0.00658,1.677,0,0,0,0,0,3.921984,2.470776,1.451208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,1,4719.5,4698.3,4747.1,3.4853,3.444,3.5276,0.5211,0.469,0.5874,2.1079257,771.6747,739.0422,815.0238,8.6673,8.6389,8.6972,5.5083,5.4884,5.5317,3.1137,3.1004,3.1287,"MARCS",266.29413748718,-32.28979130349,3.257911,1.973533,0.0815,0.187203,357.087771323308,-1.66659726119092,266.829664326923,-8.89134601134337,-5.78894767245213,0.196351332083788,0.151247313089023,0.179603035284349,0.286363076053378,-0.0479312883971878,0.522331288397188
"Gaia EDR3 2207404836989085696",345.784441111111,62.5676572222222,"prisinzano2022","Gaia DR3 2207404836989085696",345.78447332832,62.56735057057,0,0,150,1636148068921376768,2207404836989085696,874265471,0.0402,0.0434,1.4603,0.048,30.4445,2.979,0.403,0.051,-2.952,0.056,-0.1369,-0.0571,-0.1335,-0.081,0.1699,-0.0854,-0.1468,-0.0864,0.0233,-0.2821,381,0,379,2,3.323,494.53,0.268,4.129,31,FALSE,1.258,NA,NA,NA,NA,NA,NA,NA,45,26,0.084123,51,0.01954,111.1,0,0,1.123,0,427,4516.67771,23.5117,192.103,16.55032,0.006288,46,801.864,18.4584,43.4416,18.07829,0.025148,45,5856.96,83.6354,70.0297,15.328714,0.015958,1.474,0,0,0,1,0,2.749577,1.527971,1.221605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VARIABLE",0,0,0.999442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6847908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",345.78446944015,62.56736368901,0.816975,0.902686,-0.2699,1.105238,110.818008388622,2.27100056217142,29.1664982369004,59.2401645044631,-0.828351245581456,-2.86191320866718,0.0457358634891302,0.0603757467109404,0.0576815911228197,-0.0264495208410474,1.48674952084105
"Gaia EDR3 1958691110601647616",336.640268333333,43.4056888888889,"prisinzano2022","Gaia DR3 1958691110601647616",336.64055836403,43.40543196648,0,0,152,1636148068921376768,1958691110601647616,1676355737,0.1033,0.1234,1.7951,0.1571,11.4245,4.995,-1.586,0.141,-4.736,0.165,-0.2641,-0.0046,-0.1611,-0.0197,0.1365,-0.0518,-0.1758,-0.1102,-0.0442,-0.3458,542,0,537,5,0.5337,652.37,0.53,1.7993,95,FALSE,1.1928,1.1928,0.0331,-0.043,0.103,0,-0.153,-0.05,62,26,0.249313,72,0.002846,54.96,0,0,1.016,0,605,630.61272,0.989838,637.087,18.68796,0.00324,56,90.8546,5.70329,15.9302,20.442675,0.068213,61,849.691,6.69235,126.964,17.424744,0.009349,1.491,0,3,0,2,0,3.017931,1.754715,1.263216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999661,3281.6,3277.6,3287.1,4.8655,4.8568,4.8726,0.112,0.095,0.129,0.55707204,370.3248,364.4063,375.9227,0.931,0.8959,0.973,0.5785,0.5565,0.6046,0.3978,0.3836,0.4146,"MARCS",336.64056806748,43.40545301637,2.279035,2.661733,-0.3371,1.196195,96.8980091511262,-12.0230001533425,0.776949055734261,48.1626264313046,-3.88363845143657,-3.14045289385517,0.121283991787676,0.17998942562286,0.219338120496705,-0.0390120670536492,1.83411206705365
"SPICY 21745",214.299293,-61.927102,"kuhn2021","Gaia DR3 5854480400900915584",214.29980540371,-61.92700354926,0,0,25,1636148068921376768,5854480400900915584,222416832,0.0627,0.0897,0.5453,0.1266,4.3057,4.886,-4.865,0.088,-0.458,0.133,0.4285,-0.0641,-0.1335,0.0366,0.0586,0.0826,0.0146,0.0092,-0.0105,0.7055,816,0,816,0,0.2142,854.96,0,0,31,FALSE,1.374,NA,NA,NA,NA,NA,NA,NA,93,26,0.206509,105,0.01311,151.3,0,0,1.005,0,884,938.09705,0.780088,1202.55,18.256748,0.002899,100,319.694,4.31136,74.1516,19.076704,0.014906,102,872.565,5.08621,171.555,17.3959,0.007371,1.271,0,3,0,4,0,1.680803,0.819956,0.860847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,4617,4536.8,4748.1,4.8367,4.7785,4.8714,-1.4053,-1.5243,-1.1922,1.8338529,934.7064,868.6058,1036.7634,1.2103,1.1081,1.3605,0.9103,0.8306,1.029,0.4937,0.4503,0.5585,"PHOENIX",214.29985134738,-61.92700151378,1.415696,2.127665,0.6962,0.93765,312.837613095464,-0.715947033493666,236.808597448228,-44.7532078078881,-4.74933916129116,1.14968105621786,0.117800946433645,0.107498544266131,0.141623027199136,-0.0228926619760469,0.568192661976047
"UCAC2 16439828",260.4153,-36.2636,"xu2021","Gaia DR3 5975217257348539648",260.41525051844,-36.26356142913,0,0,74,1636148068921376768,5975217257348539648,1351450605,0.0189,0.0124,0.5702,0.0199,28.6772,1.861,0.325,0.023,-1.833,0.015,0.2737,-0.3165,-0.2671,-0.3238,-0.3271,-0.2802,-0.4036,0.09,0.2667,0.2523,225,0,217,8,-1.0402,185.94,0,0,31,FALSE,1.423,NA,NA,NA,NA,NA,NA,NA,25,15,0.033657,26,0.03063,177.4,0,0,0.948,0,223,67027.83412,33.7123,1988.23,13.621729,0.002809,22,26192.1,58.1399,450.502,14.293116,0.003687,23,59950.5,45.8493,1307.55,12.803414,0.00387,1.285,0,0,0,0,0,1.489701,0.671387,0.818315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7537705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",260.41524872916,-36.26355328305,0.372087,0.252525,0.2738,0.199776,351.111211203102,0.243685765563066,262.07745647358,-13.0875464058209,-1.32297955607399,-1.30967136878312,0.0201179664198742,0.018688697844655,0.0319195040016873,-0.0422200125555308,0.612420012555531
"Gaia DR2 3326666408018255616",100.683795989745,9.55080364167543,"kounkel2020","Gaia DR3 3326666408018255616",100.68380058408,9.55079891401,0,0,129,1636148068921376768,3326666408018255616,748727611,0.0683,0.0651,1.4756,0.0777,18.9855,4.513,-2.596,0.085,-3.691,0.073,-0.2103,-0.0316,-0.0857,0.2266,-0.3511,0.1911,-0.2375,0.0928,0.0393,-0.2585,217,0,217,0,0.4053,230.33,0,0,31,TRUE,1.291,NA,NA,NA,NA,NA,NA,NA,25,17,0.127124,26,0.0176,178,0,0,1.018,0,214,2859.77666,4.00532,713.994,17.046537,0.003147,23,607.668,12.1173,50.1489,18.379377,0.021829,24,3436.83,19.7152,174.324,15.907499,0.007285,1.414,0,0,0,1,0,2.471878,1.33284,1.139038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,1e-06,3587.3,3574.4,3606.1,4.2325,4.1865,4.2918,-0.3401,-0.4182,-0.226,0.67769045,574.6923,557.0163,591.0447,0.8909,0.8689,0.9106,0.5921,0.5772,0.6052,0.3633,0.3547,0.3708,"MARCS",100.68381228407,9.55081532006,1.373306,1.178302,-0.2755,0.023573,203.441232096599,2.42656441530491,100.836322802781,-13.4874882841675,2.10258403655921,-3.9927230519041,0.0838087750583253,0.0743645696768496,0.0924499035176635,-0.0327318123852636,1.50833181238526
"Gaia EDR3 177546629392389248",64.9720541666667,37.0306738888889,"prisinzano2022","Gaia DR3 177546629392389248",64.97241208265,37.03068703594,0,0,102,1636148068921376768,177546629392389248,1406891595,0.1202,0.0817,2.0151,0.1356,14.8557,5.775,2.345,0.161,-5.277,0.131,-0.1793,0.2713,0.1166,-0.0118,-0.3003,-0.0943,0.1725,0.2504,0.0179,-0.1108,196,0,195,1,0.74,219.02,0.144,0.26879,31,FALSE,1.238,NA,NA,NA,NA,NA,NA,NA,23,14,0.227431,26,0.03432,163.6,0,0,1.036,0,213,1738.41575,2.77785,625.813,17.586983,0.003256,23,254.931,8.80323,28.9588,19.322483,0.037596,23,2284.39,15.5432,146.97,16.350971,0.008298,1.461,0,1,0,2,0,2.971512,1.7355,1.236012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999911,3592.3,3569.1,3613.9,4.3231,4.2678,4.3661,-0.3407,-0.3772,-0.3052,0.49625328,430.4199,414.2132,449.7786,2.4366,2.4011,2.4784,1.5695,1.5458,1.5966,0.9424,0.9298,0.9569,"PHOENIX",64.97239902687,37.03071049105,2.564571,2.087117,-0.108,1.029713,162.608008774838,-9.30599750370247,69.4981127360081,15.3558788471882,5.40314773071802,-2.03758401054697,0.154336659428625,0.138788312030994,0.157143087355869,-0.030102237868873,2.04520223786887
"Gaia EDR3 2220839116734233216",322.925476111111,65.0687225,"prisinzano2022","Gaia DR3 2220839116734233216",322.9258206512,65.0688353981,0,0,98,1636148068921376768,2220839116734233216,1157530134,0.0425,0.0337,1.1028,0.0391,28.1789,3.43,-1.12,0.067,-3.242,0.043,-0.069,-0.2335,0.5612,-0.0536,0.1016,-0.1612,0.028,-0.3542,0.0377,0.0771,314,0,312,2,4.0702,435.77,0.211,4.126,31,FALSE,1.314,NA,NA,NA,NA,NA,NA,NA,36,24,0.096589,41,0.01155,116.8,0,0,1.168,0,310,7349.13044,18.5828,395.481,16.021776,0.00389,37,1833.66,19.5545,93.7721,17.180244,0.01191,39,8362.33,62.1671,134.514,14.942077,0.008913,1.387,0,1,0,2,0,2.238168,1.158468,1.0797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999245,6014.4,6003.7,6037.9,4.095,4.0788,4.1121,-1.4852,-1.4963,-1.4581,0.90678275,842.2949,819.7123,864.212,3.77,3.7619,3.782,2.8346,2.8282,2.8452,1.5912,1.5875,1.5971,"A",322.92583246335,65.06884980766,1.044862,0.693264,0.0889,0.662233,103.81600805736,9.9050002255684,20.7705587725407,68.9184295944188,-3.05072468604021,-1.56781468611085,0.0587268177119513,0.0537509151682763,0.0478336810842448,-0.0267073369490517,1.12950733694905
"CXOVVV J165410.29-415140.5",253.5429,-41.861275,"kuhn2017","Gaia DR3 5966503872513415808",253.54287122773,-41.86126257273,0,0,82,1636148068921376768,5966503872513415808,112287613,0.1556,0.12,0.5394,0.2041,2.6425,2.383,-0.709,0.221,-2.276,0.189,0.0764,0.0037,-0.2114,0.0304,-0.2774,0.0763,-0.5129,-0.3608,0.2631,0.0695,288,0,287,1,-0.8878,299.53,0,0,95,FALSE,1.2329,1.2329,0.0402,0.123,0.016,0.086,-0.122,0.039,34,17,0.313331,38,0.03285,81.57,0,0,0.962,0,250,781.03416,4.90524,159.224,18.455692,0.007355,22,154.295,14.616,10.5566,19.867664,0.102887,22,932.003,16.644,55.9964,17.324352,0.019754,1.391,0,1,0,1,0,2.543312,1.411972,1.13134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999981,3558.2,3548.8,3615.3,4.5829,4.5344,4.6576,-0.6064,-0.6836,-0.4254,1.8539119,541.8477,518.4056,566.8969,1.4629,1.4004,1.5166,0.9757,0.9344,1.0117,0.561,0.539,0.5806,"PHOENIX",253.54287545621,-41.86125245928,3.569218,3.093707,0.0633,0.089177,343.436778190156,1.1605027282424,257.093682026062,-19.1565255580745,-2.21359636373126,-0.88478705826643,0.209233074055772,0.201949302353763,0.284829982652785,-0.0410128996239871,0.580412899623987
"SPCM J225607.40+620912.1",344.030846111111,62.153365,"getman2017","Gaia DR3 2207007260455443072",344.03111742066,62.15333404369,0,0,140,1636148068921376768,2207007260455443072,875866425,0.1003,0.1013,1.3457,0.1235,10.8986,11.008,10.769,0.142,-2.28,0.123,-0.0555,0.1622,0.1649,-0.2437,0.3809,-0.2702,-0.1201,-0.2577,-0.0512,-0.3062,328,0,328,0,-0.6606,391.96,0.426,1.9781,95,FALSE,1.1841,1.1841,0.0257,-0.087,0.156,0.014,-0.108,0.02,37,22,0.214949,42,0.02365,52.14,0,0,0.973,0,358,1126.16846,1.60292,702.573,18.05836,0.003159,37,167.625,8.65228,19.3735,19.777695,0.056112,38,1460.59,9.50655,153.641,16.836573,0.008014,1.446,0,0,0,0,0,2.941122,1.719336,1.221786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_AVAILABLE",0,0,0.999561,3550.3,3548.7,3554.5,4.3041,4.2642,4.3327,-0.3272,-0.3752,-0.2747,0.7431077,592.6523,576.0471,614.9615,1.9835,1.9526,2.0144,1.2745,1.2543,1.2947,0.7947,0.7836,0.8057,"MARCS",344.03101495181,62.15334417489,2.256036,1.976439,-0.2813,0.469644,109.905164149594,2.23418483031246,27.5032426161178,59.5822781124437,8.74608010917509,-6.68399908167946,0.122828478412827,0.142148390391132,0.172544329000683,-0.0562139308599136,1.40191393085991
"SSTc2d J110328.9-774052",165.870621111111,-77.6810680555555,"evans2003","Gaia DR3 5201171757272351488",165.8701695354,-77.68102880976,0,0,21,1636148068921376768,5201171757272351488,115441229,0.0247,0.0265,0.9088,0.0293,31.012,19.026,-15.322,0.034,11.278,0.037,0.063,-0.0728,-0.1256,-0.0273,0.0738,0.0025,-0.1531,0.3471,0.0709,0.1309,359,359,357,2,4.8715,3852,0.314,103.7,31,FALSE,1.198,NA,NA,NA,NA,NA,NA,NA,41,26,0.053292,48,0.01401,79.53,0,0,1.188,0,394,156502.78359,100.551,1556.45,12.701061,0.002842,45,14883.1,35.5635,418.493,14.906811,0.00381,46,228739,266.67,857.761,11.349545,0.003986,1.557,0,1,0,0,0,3.557266,2.20575,1.351517,-20.56,0.27,1,20,3,17,52.791,0.12143,0.516791,982.207,3.25,4250,1,-0.25,444,7.1041,3.259,16,10.685706,0.012418,17,NA,"NOT_AVAILABLE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.100352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",165.8704887196,-77.68107893582,0.543583,0.599754,0.1303,0.374515,297.149870738698,-16.0384363406288,238.740710108588,-66.5020455418958,-18.6428882658273,3.79469170129527,0.0326806719238469,0.0381703246332262,0.057669360100692,-0.031667331676483,0.940467331676483
